;;;;;;;;;;
Haftungsausschluss und Copyright;;;;;;;;;;
"Aufgrund der technischen Merkmale des Internet kann die Zertifizierungsstelle keine Gewähr für die Vollständigkeit und Richtigkeit der hier eingestellten Informationen übernehmen. Sie sollten deshalb die Richtigkeit der hier präsentierten Informationen überprüfen, insbesondere wenn sie als Grundlage für Vertragsabschlüsse dienen. 
Diese Informationen dürfen gespeichert, weitergeben und vervielfältigt, jedoch nicht verändert werden. Bei Weitergabe und Vervielfältigung wird um Quellenangabe gebeten.
Südwestbank AG;"Rotebühlstr. 125
70178 Stuttgart";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);SÜDWESTBANK Aktiengesellschaft;A;001575;01.01.2002;;;;
SV SparkassenVersicherung Lebensversicherung AG;"Gottlieb-Daimler-Str. 2
68165 Mannheim";PrämienRente;SV SparkassenVersicherung Lebensversicherung Aktiengesellschaft;A;003860;02.01.2007;04.04.2008;;;
SV SparkassenVersicherung Lebensversicherung AG;"Gottlieb-Daimler-Str. 2
68165 Mannheim


";PrämienRente;SV SparkassenVersicherung Lebensversicherung Aktiengesellschaft;A;003882;02.07.2007;;;;
SV Sparkassen-Versicherung Lebensversicherung AG;"Gottlieb-Daimler-Str. 2
68165 Mannheim";SV PrämienRente;SV SparkassenVersicherung Lebensversicherung Aktiengesellschaft;A;003810;02.01.2006;04.04.2008;;;
SV SparkassenVersicherung Lebensversicherung Aktiengesellschaft;"Löwentorstr. 65
70376 Stuttgart";SV BasisRente (Tarife SBR, SBRT);SV SparkassenVersicherung Lebensversicherung Aktiengesellschaft;B;004557;10.02.2010;;;;
SV SparkassenVersicherung Lebensversicherung Aktiengesellschaft;"Löwentorstr. 65
70376 Stuttgart";SV BasisRente (Tarife ABR, ABRT);SV SparkassenVersicherung Lebensversicherung Aktiengesellschaft;B;004559;10.02.2010;;;;
SV SparkassenVersicherung Lebensversicherung Aktiengesellschaft;"Löwentorstr. 65
70376 Stuttgart";SV BasisRente Garant (Tarife FBRG);SV SparkassenVersicherung Lebensversicherung Aktiengesellschaft;B;004561;10.02.2010;01.01.2017;;;
SV SparkassenVersicherung Lebensversicherung Aktiengesellschaft;"Löwentorstr. 65
70376 Stuttgart";SV BasisRente Invest (Tarif FBR);SV SparkassenVersicherung Lebensversicherung Aktiengesellschaft;B;004560;10.02.2010;;;;
SV SparkassenVersicherung Lebensversicherung Aktiengesellschaft;"Löwentorstraße 65
70376 Stuttgart";Staatlich förderfähige Rentenversicherung mit aufgeschobener Rentenzahlung und einer wahlweisen Beteiligung an einem Index (BasisRente IndexGarant) - Tarif ABRTI;SV SparkassenVersicherung Lebensversicherung Aktiengesellschaft;B;005992;15.04.2016;;;;
SV SparkassenVersicherung Lebensversicherung Aktiengesellschaft;"Löwentorstraße 65
70376 Stuttgart";BasisRente IndexGarant - Tarif ABRTI mit TopBUZ;SV SparkassenVersicherung Lebensversicherung Aktiengesellschaft;B;006142;20.06.2017;;;;
SV SparkassenVersicherung Lebensversicherung Aktiengesellschaft;"Löwentorstraße 65
70376 Stuttgart";Rentenversicherung als Altersvorsorgevertrag nach Tarif AV-ARDGL (RiesterRente) im Tarifwerk 2021;SV SparkassenVersicherung Lebensversicherung Aktiengesellschaft;A;006352;19.08.2020;01.01.2025;;;
SV SparkassenVersicherung Lebensversicherung Aktiengesellschaft;"Löwentorstraße 65
70376 Stuttgart";BasisRente IndexGarant- Tarif ABRTI;SV SparkassenVersicherung Lebensversicherung Aktiengesellschaft;B;006391;07.10.2020;;;;
SV SparkassenVersicherung Lebensversicherung Aktiengesellschaft;"Löwentorstraße 65
70376 Stuttgart";SV Basisrente - Tarif ABR, ABRT;SV SparkassenVersicherung Lebensversicherung Aktiengesellschaft;B;006390;07.10.2020;;;;
SV SparkassenVersicherung Lebensversicherung Aktiengesellschaft;"Löwentorstraße 65
70376 Stuttgart";SV Basisrente - Tarif ABR, ABRT;SV SparkassenVersicherung Lebensversicherung Aktiengesellschaft;B;006453;15.11.2021;;;;
SV SparkassenVersicherung Lebensversicherung Aktiengesellschaft;"Löwentorstraße 65
70376 Stuttgart";BasisRente IndexGarant - Tarif ABRTI;SV SparkassenVersicherung Lebensversicherung Aktiengesellschaft;B;006454;15.11.2021;;;;
SV Sparkassen-Versicherung Lebensversicherung Baden-Württemberg AG;68147 Mannheim;SV PrämienRente;SV SparkassenVersicherung Lebensversicherung Aktiengesellschaft;A;000116;01.01.2002;01.12.2012;;;
SV Sparkassen-Versicherung Lebensversicherung Baden-Württemberg AG;"Gottlieb-Daimler-Str. 2 
68165 Mannheim";SV PrämienRente;SV SparkassenVersicherung Lebensversicherung Aktiengesellschaft;A;003770;02.01.2004;01.01.2006;;;
SV SparkassenVersicherung Öffentliche Lebensversicherungsanstalt Hessen-Nassau-Thüringen;"Postfach 31 20
65021 Wiesbaden";1822-ZusatzRente;SV SparkassenVersicherung Hessen-Nassau-Thüringen Lebensversicherung Aktiengesellschaft;A;000120;01.01.2002;01.12.2012;;;
SV SparkassenVersicherung Öffentliche Lebensversicherungsanstalt Hessen-Nassau-Thüringen;"Postfach 31 20
65021 Wiesbaden";SV-ZusatzRente;SV SparkassenVersicherung Hessen-Nassau-Thüringen Lebensversicherung Aktiengesellschaft;A;000121;01.01.2002;01.12.2012;;;
"SV SparkassenVersicherung Öffentliche Lebensversicherungsanstalt Hessen-Nassau-Thüringen
";"Postfach 31 20
65021 Wiesbaden";S-ZusatzRente;SV SparkassenVersicherung Hessen-Nassau-Thüringen Lebensversicherung Aktiengesellschaft;A;000017;01.01.2002;01.01.2006;;;
Swiss Life AG Niederlassung für Deutschland ;"Berliner Str. 85
80805 München";"Swiss Life Basisplan FRV (""Rürup-Rente"") - Profi-Plan";Swiss Life Lebensversicherung SE;B;004903;26.03.2010;01.01.2017;;;
Swiss Life AG Niederlassung für Deutschland ;"Berliner Str. 85
80805 München";"Swiss Life Basisplan Plus FRV (""Rürup-Rente"") - Standard";Swiss Life Lebensversicherung SE;B;004897;25.03.2010;01.01.2017;;;
Swiss Life AG Niederlassung für Deutschland ;"Berliner Str. 85
80805 München";"Swiss Life Basisplan FRV (""Rürup-Rente"") - Standard";Swiss Life Lebensversicherung SE;B;004904;26.03.2010;01.01.2017;;;
Swiss Life AG Niederlassung für Deutschland ;"Berliner Str. 85
80805 München";"Swiss Life Basisplan (""Rürup-Rente"")";Swiss Life Lebensversicherung SE;B;004907;26.03.2010;06.09.2012;;;
Swiss Life AG, Niederlassung Deutschland;"Zeppelinstraße 1
85748 Garching";Swiss Life Maximo FRBZ Basisrente;Swiss Life Lebensversicherung SE;B;006434;23.08.2021;;;;
Swiss Life AG, Niederlassung Deutschland;"Zeppelinstraße 1
85748 Garching";Swiss Life Investo Basisrente;Swiss Life Lebensversicherung SE;B;006433;23.08.2021;;;;
Swiss Life AG, Niederlassung Deutschland;"Zeppelinstraße 1
85748 Garching";Swiss Life Maximo Basisrente;Swiss Life Lebensversicherung SE;B;006432;23.08.2021;;;;
Swiss Life AG, Niederlassung Deutschland;"Zeppelinstraße 1
85748 Garching";Swiss Life Maximo Basisrente;Swiss Life Lebensversicherung SE;B;006536;13.11.2023;;;;
Swiss Life AG, Niederlassung Deutschland;"Zeppelinstraße 1
85748 Garching";Swiss Life Investo Basisrente;Swiss Life Lebensversicherung SE;B;006336;03.04.2020;;;;
Swiss Life AG, Niederlassung Deutschland;"Zeppelinstraße 1
85748 Garching";Swiss Life Maximo Basisrente;Swiss Life Lebensversicherung SE;B;006337;03.04.2020;;;;
Swiss Life AG, Niederlassung Deutschland;"Zeppelinstraße 1
85748 Garching";Swiss Life Maximo FRBZ Basisrente;Swiss Life Lebensversicherung SE;B;006338;03.04.2020;;;;
Swiss Life AG, Niederlassung Deutschland;"Zeppelinstraße 1
85748 Garching";Swiss Life Investo;Swiss Life Lebensversicherung SE;B;006192;01.10.2018;;;;
Swiss Life AG, Niederlassung Deutschland;"Zeppelinstraße 1
85748 Garching";Swiss Life Maximo Basisrente;Swiss Life Lebensversicherung SE;B;006150;07.09.2017;;;;
Swiss Life AG, Niederlassung Deutschland;"Zeppelinstraße 1
85748 Garching";Swiss Life Maximo Basisrente mit fondsgebundenem Rentenbezug;Swiss Life Lebensversicherung SE;B;006151;07.09.2017;;;;
Swiss Life AG, Niederlassung Deutschland;"Zeppelinstraße 1
85748 Garching";Swiss Life Maximo Basisrente;Swiss Life Lebensversicherung SE;B;006243;04.04.2019;;;;
Swiss Life AG, Niederlassung Deutschland;"Zeppelinstraße 1
85748 Garching";Swiss Life Maximo Basisrente (fondsgebundener Rentenbezug);Swiss Life Lebensversicherung SE;B;006244;04.04.2019;;;;
Swiss Life AG, Niederlassung Deutschland;"Zeppelinstraße 1
85748 Garching";Swiss Life Maximo Basisrente mit einer fondsgebundenen Rentenbezugszeit;Swiss Life Lebensversicherung SE;B;006141;19.05.2017;;;;
Swiss Life AG, Niederlassung Deutschland;"Zeppelinstraße 1
85748 Garching";Swiss Life Maximo Basisrente;Swiss Life Lebensversicherung SE;B;006122;24.01.2017;;;;
Swiss Life AG, Niederlassung Deutschland;"Zeppelinstraße 1
85748 Garching";Swiss Life Maximo Basisrente;Swiss Life Lebensversicherung SE;B;005991;24.03.2016;;;;
Swiss Life AG, Niederlassung Deutschland;"Zeppelinstraße 1
85748 Garching";Swiss Life Maximo Basisrente;Swiss Life Lebensversicherung SE;B;005956;25.08.2015;;;;
Swiss Life AG, Niederlassung Deutschland;"Zeppelinstraße 1
85748 Garching";Swiss Life Maximo Basisrente;Swiss Life Lebensversicherung SE;B;005940;08.06.2015;01.12.2015;;;
Swiss Life AG, Niederlassung für Deutschland;"Berliner Straße 85
80805 München";"Swiss Life Basisplan Plus FRV (""Rürup-Rente"") - Standard";Swiss Life Lebensversicherung SE;B;005898;23.12.2013;01.01.2017;;;
Swiss Life AG, Niederlassung für Deutschland;"Berliner Straße 85
80805 München";"Swiss Life Basisplan FRV (""Rürup-Rente"") - Standard";Swiss Life Lebensversicherung SE;B;005899;23.12.2013;01.01.2017;;;
Swiss Life AG, Niederlassung für Deutschland;"Berliner Straße 85
80805 München";"Swiss Life Basisplan Plus (""Rürup-Rente"")";Swiss Life Lebensversicherung SE;B;005900;23.12.2013;01.01.2017;;;
Swiss Life AG, Niederlassung für Deutschland;"Berliner Straße 85
80805 München";"Swiss Life Basisplan Plus FRV (""Rürup-Rente"") - Profi-Plan";Swiss Life Lebensversicherung SE;B;005896;23.12.2013;01.01.2017;;;
Swiss Life AG, Niederlassung für Deutschland;"Berliner Straße 85
80805 München";"Swiss Life Basisplan FRV (""Rürup-Rente"") - Profi-Plan";Swiss Life Lebensversicherung SE;B;005897;23.12.2013;01.01.2017;;;
Swiss Life AG, Niederlassung für Deutschland;"Berliner Straße 85
80805 München";"Swiss Life Basisplan Plus (""Rürup-Rente"") ";Swiss Life Lebensversicherung SE;B;004908;26.03.2010;01.01.2017;;;
Swiss Life AG, Niederlassung für Deutschland ;"Berliner Str. 85
80805 München";"Swiss Life Basisplan Plus FRV (""Rürup-Rente"") - Profi-Plan";Swiss Life Lebensversicherung SE;B;004894;25.03.2010;01.01.2017;;;
Swiss Life Lebensversicherung SE;"Zeppelinstr.1
85748 Garching";Swiss Life Maximo Basisrente mit FRBZ;Swiss Life Lebensversicherung SE;B;006585;06.11.2024;;;;
Swiss Life Lebensversicherung SE;"Zeppelinstr.1
85748 Garching";Swiss Life Investo Basisrente;Swiss Life Lebensversicherung SE;B;006586;06.11.2024;;;;
Swiss Life Products (Luxembourg) S.A. Niederlassung für Deutschland Hr. Gert Eberhard Wagner;"Berliner Str. 85
80805 München";Swiss Life Champion Riester;Swiss Life Products (Luxembourg) S.A. Niederlassung für Deutschland;A;005233;24.11.2010;01.01.2017;;;
TARGO Lebensversicherung AG;"Proactiv-Platz 1
40721 Hilden";Basis Rente Sicherheit;TARGO Lebensversicherung AG;B;004864;17.03.2010;01.01.2017;;;
TARGO Lebensversicherung AG;"ProACTIV-Platz 1
40721 Hilden";Citi Basis Rente (2005);TARGO Lebensversicherung AG;B;005100;03.09.2010;01.01.2012;;;
TARGO Lebensversicherung AG;"ProACTIV-Platz 1
40721 Hilden";Citi Basis Rente (2006);TARGO Lebensversicherung AG;B;005101;03.09.2010;01.01.2012;;;
TARGO Lebensversicherung AG;"ProACTIV-Platz 1
40721 Hilden";Citi Basis Rente (2007);TARGO Lebensversicherung AG;B;005102;03.09.2010;01.01.2012;;;
TARGO Lebensversicherung AG;"ProACTIV-Platz 1
40721 Hilden";Citi Reform Rente Sicherheit;TARGO Lebensversicherung AG;A;003933;02.01.2008;01.01.2022;;;
Taunus-Sparkasse;"Ludwig-Erhard-Anlage 6 + 7
61352 Bad Homburg v d Höhe";SVorsorgeFlexibel 157.860.000;Taunus-Sparkasse;A;005482;04.01.2011;;;;
Taunus-Sparkasse;"Ludwig-Erhard-Anlage 6-7
61352 Bad Homburg v d Höhe";Sparkassen-Riesterdarlehen;Taunus-Sparkasse;A;004015;01.11.2008;01.01.2017;;;
Uelzener Lebensversicherungs -Aktiengesellschaft;"Veerßer Straße 67
29525 Uelzen";Basisrente;Uelzener Lebensversicherungs-Aktiengesellschaft;B;005574;23.02.2011;01.01.2017;;;
Uelzener Lebensversicherungs-AG;"Postfach 21 63
29511 Uelzen";RentePlus4F;Uelzener Lebensversicherungs-Aktiengesellschaft;A;003561;01.01.2002;01.01.2006;;;
Uelzener Lebensversicherungs-AG;"Postfach 21 63
29511 Uelzen";RentePlus4;Uelzener Lebensversicherungs-Aktiengesellschaft;A;003562;01.01.2002;01.01.2006;;;
Uelzener Lebensversicherungs-Aktiengesellschaft;"Veerßer Straße 67
29525 Uelzen";Basisrente;Uelzener Lebensversicherungs-Aktiengesellschaft;B;004966;19.05.2010;01.01.2017;;;
Uhlbacher Bank eG;"Uhlbacher Platz 3
70329 Stuttgart";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Uhlbacher Bank eG;A;002484;01.01.2002;;;;
Ulmer Heimstätte eG;"Söflinger Str. 82
89077 Ulm";Altersvorsorgevertrag-Muster GdW;ulmer heimstätte eG;A;003538;01.01.2002;01.01.2017;;;
Ulmer Volksbank eG;89070 Ulm;Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Volksbank Ulm-Biberach eG;A;000893;01.01.2002;11.03.2024;;;
Ulmer Volksbank eG;89070 Ulm;Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Volksbank Ulm-Biberach eG;A;000747;01.01.2002;11.03.2024;;;
Ulmer Volksbank eG;89070 Ulm;Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Volksbank Ulm-Biberach eG;A;001376;01.01.2002;11.03.2024;;;
Union Investment Privatfonds GmbH;"Wiesenhüttenstr. 10
60329 Frankfurt";Produktname;Union Investment Privatfonds GmbH;A;003678;01.09.2002;;;;
Union Investment Privatfonds GmbH;"Wiesenhüttenstr. 10
60329 Frankfurt";"""Produktname"" 4P";Union Investment Privatfonds GmbH;A;003679;01.09.2002;;;;
Union Investment Privatfonds GmbH;"Wiesenhüttenstr. 10
60329 Frankfurt";UniProfiRente ;Union Investment Privatfonds GmbH;A;003680;01.09.2002;;;;
Union Investment Privatfonds GmbH;"Wiesenhüttenstr. 10
60329 Frankfurt";UniProfiRente 4P;Union Investment Privatfonds GmbH;A;003681;01.09.2002;;;;
Union Investment Privatfonds GmbH;"Wiesenhüttenstr. 10
60329 Frankfurt am Main";"""Produktname""";Union Investment Privatfonds GmbH;A;005747;22.08.2012;;;;
Union Investment Privatfonds GmbH;"Wiesenhüttenstr. 10
60329 Frankfurt am Main";UniProfiRente Select;Union Investment Privatfonds GmbH;A;005745;03.08.2012;;;;
Union Investment Privatfonds GmbH;"Wiesenhüttenstraße 10
60329 Frankfurt am Main";UniProfiRente Select;Union Investment Privatfonds GmbH;A;006134;21.03.2017;;;;
Union Investment Privatfonds GmbH;"Wiesenhüttenstraße 10
60329 Frankfurt am Main";Produktname;Union Investment Privatfonds GmbH;A;006135;21.03.2017;;;;
Union Investment Privatfonds GmbH;"Wiesenhüttenstraße 10
60329 Frankfurt am Main";SpardaProfiRente;Union Investment Privatfonds GmbH;A;006402;10.02.2021;;;;
Union Investment Privatfonds GmbH;"Wiesenhüttenstraße 10
60329 Frankfurt am Main";UniProfiRente;Union Investment Privatfonds GmbH;A;006403;10.02.2021;;;;
Union Investment Privatfonds GmbH;"Wiesenhüttenstraße 10
60329 Frankfurt am Main";UniProfiRente 4P;Union Investment Privatfonds GmbH;A;006404;10.02.2021;;;;
Union Investment Privatfonds GmbH;"Wiesenhüttenstraße 10
60329 Frankfurt am Main";SpardaProfiRente 4P;Union Investment Privatfonds GmbH;A;006405;10.02.2021;;;;
Union Investment Privatfonds GmbH;"Wiesenhüttenstraße 10
60329 Frankfurt am Main";SpardaProfiRente Select;Union Investment Privatfonds GmbH;A;006406;10.02.2021;;;;
Union Investment Privatfonds GmbH;"Wiesenhüttenstraße 10
60329 Frankfurt am Main";UniProfiRente Select;Union Investment Privatfonds GmbH;A;006407;10.02.2021;;;;
Union-Investment-Gesellschaft mbH;"Wiesenhüttenstr. 10
60329 Frankfurt/M";"""UniProfiRente 4P""";Union Investment Privatfonds GmbH;A;002193;01.01.2002;01.01.2006;;;
Union-Investment-Gesellschaft mbH;"Wiesenhüttenstr. 10
60329 Frankfurt/M";"""UniProfiRente""";Union Investment Privatfonds GmbH;A;000764;01.01.2002;01.01.2006;;;
Union-Investment-Gesellschaft mbH;"Wiesenhüttenstr. 10
60329 Frankfurt/M";"(""Produktname""- Uni Profi Rente)";Union Investment Privatfonds GmbH;A;003496;01.01.2002;01.01.2006;;;
Union-Investment-Gesellschaft mbH;"Wiesenhüttenstr. 10
60329 Frankfurt/M";"(""Produktname"" 4 P - UniProfiRente 4P)";Union Investment Privatfonds GmbH;A;003497;01.01.2002;01.01.2006;;;
uniVersa Lebensversicherung a.G.;"Sulzbacher Str. 1-7
90489 Nürnberg";Rentenversicherung im Sinne des AltZertG nach Tarif 1365;uniVersa Lebensversicherung a.G.;A;000115;01.01.2002;01.01.2012;;;
uniVersa Lebensversicherung a.G.;"Sulzbacher Str. 1-7
90489 Nürnberg";Rentenversicherung als Altersvorsorgevertrag im Sinne des AltZertG;uniVersa Lebensversicherung a.G.;A;003844;01.12.2006;01.01.2017;;;
uniVersa Lebensversicherung a.G.;"Sulzbacher Str. 1-7
90489 Nürnberg";Fondsgebundene Rentenversicherung als Altersvorsorgevertrag im Sinne des AltZertG;uniVersa Lebensversicherung a.G.;A;003965;01.08.2008;01.01.2017;;;
uniVersa Lebensversicherung a.G.;"Sulzbacher Str. 1 - 7
90489 Nürnberg, Mittelfr";AufbauRENTE topinvest;uniVersa Lebensversicherung a.G.;B;005188;03.11.2010;01.01.2017;;;
uniVersa Lebensversicherung a.G.;"Sulzbacher Str. 1 - 7
90489 Nürnberg, Mittelfr";AufbauRENTE;uniVersa Lebensversicherung a.G.;B;005189;03.11.2010;01.01.2017;;;
uniVersa Lebensversicherung a.G.;"Sulzbacher Straße 1 - 7
90489 Nürnberg";AufbauRENTE topinvest 2017;uniVersa Lebensversicherung a.G.;B;006094;28.11.2016;;;;
uniVersa Lebensversicherung a.G.;"Sulzbacher Straße 1 - 7
90489 Nürnberg";AufbauRENTE 2012;uniVersa Lebensversicherung a.G.;B;005704;29.11.2011;01.01.2017;;;
uniVersa Lebensversicherung a.G.;"Sulzbacher Straße 1 - 7
90489 Nürnberg";AufbauRENTE topinvest 2012;uniVersa Lebensversicherung a.G.;B;005706;29.11.2011;01.01.2017;;;
uniVersa Lebensversicherung a.G.;"Sulzbacher Str. 1 - 7
90489 Nürnberg";Rentenversicherung gemäß § 10 Abs. 1 Nr. 2 Buchstabe b) EStG (Basisversorgung) - AufbauRENTE;uniVersa Lebensversicherung a.G.;B;004817;19.02.2010;01.01.2017;;;
uniVersa Lebensversicherung a.G.;"Sulzbacher Str. 1 - 7
90489 Nürnberg";Fondsgebundene Rentenversicherung gemäß § 10 Abs. 1 Nr. 2 Buchstabe b) EStG (Basisversorgung) - AufbauRENTE topinvest;uniVersa Lebensversicherung a.G.;B;004818;19.02.2010;01.01.2017;;;
Untertürkheimer Volksbank eG;"Arlbergstr. 21
70327 Stuttgart";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);Untertürkheimer Volksbank eG;A;002485;01.01.2002;;;;
Untertürkheimer Volksbank eG;"Arlbergstr. 21
70327 Stuttgart";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);Untertürkheimer Volksbank eG;A;001011;01.01.2002;;;;
VBM Volksbank Mittelrhein eG;"Schloßrondell
56068 Koblenz ";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);Volksbank Koblenz Mittelrhein eG;A;001439;01.01.2002;;;;
VBU Volksbank im Unterland eG;"Theodor-Heuss-Str. 10
74193 Schwaigern";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Staffelzins);VBU Volksbank im Unterland eG;A;002481;01.01.2002;01.08.2024;;;
VBU Volksbank im Unterland eG;"Theodor-Heuss-Str. 10
74193 Schwaigern";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (Referenzzins);VBU Volksbank im Unterland eG;A;001572;01.01.2002;01.08.2024;;;
VBU Volksbank im Unterland eG;"Theodor-Heuss-Str. 10
74193 Schwaigern";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Bankguthaben mit Zinsansammlung) (mit Bonus);VBU Volksbank im Unterland eG;A;001009;01.01.2002;01.08.2024;;;
VDV Leben International;"Leoforos Syngrou 138
GR-17671 Athen";VDV Profit-Rente;VDV Leben International;A;000709;01.01.2002;;18.10.2010;;
Verband der Privaten Bausparkassen e. V.;"Klingelhöferstr. 4
10785 Berlin";Muster-Altersvorsorge-Bausparvertrag (2);Verband der Privaten Bausparkassen e. V.;A;005960;30.09.2015;;;;
Verbandssparkasse Goch - Zweckverbandssparkasse der Städte Goch und Kevelaer und der Gemeinde Weeze;"Brückenstr. 35-37
47574 Goch";Sparkassen-Riesterdarlehen;Verbandssparkasse Goch - Zweckverbandssparkasse der Städte Goch und Kevelaer und der Gemeinde Weeze;A;004124;01.11.2008;01.01.2017;;;
Verbandssparkasse Meldorf;"Roggenstr. 14
25704 Meldorf";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Sparkonto mit Zinsansammlung) 157.815.000 + 157.815.001;Verbandssparkasse Meldorf;A;000678;01.03.2018;01.01.2014;;;
Verbandssparkasse Meldorf;"Roggenstr. 14
25704 Meldorf";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Sparkonto mit Zinsansammlung 157.810.000 157.800.001);Verbandssparkasse Meldorf;A;000293;01.01.2002;01.01.2014;;;
Verbandssparkasse Meldorf;"Roggenstr. 14
25704 Meldorf";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Sparkonto mit Zinsansammlung) 157.816.000 + 157.815.001;Verbandssparkasse Meldorf;A;003038;01.01.2002;01.01.2014;;;
Verbands-Sparkasse Wesel;"Bismarckstr. 5
46483 Wesel ";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Sparkonto mit Zinsansammlung) 157.816.000 + 157.815.001;Verbands-Sparkasse Wesel;A;002994;01.01.2002;01.01.2014;;;
Verbands-Sparkasse Wesel;"Bismarckstr. 5
46483 Wesel ";Altersvorsorgevertrag nach dem Altersvermögensgesetz (Sparkonto mit Zinsansammlung) 157.815.000 + 157.815.001;Verbands-Sparkasse Wesel;A;000624;01.03.2018;01.01.2014;;;
Verbands-Sparkasse Wesel;"Bismarckstr. 1
46483 Wesel a Rhein";Sparkassen-Riesterdarlehen;Verbands-Sparkasse Wesel;A;004064;01.11.2008;01.01.2017;;;
Verbands-Sparkasse Wesel;"Bismarckstr. 1
46483 Wesel a Rhein";SVorsorgeFlexibel 157.860.000;Verbands-Sparkasse Wesel;A;005514;04.01.2011;;;;
