id;einwilligung_teaser;aenderungsmitteilung;name_anbieter;kurzbeschreibung_des_anbieters;kurzbeschreibung_des_angebots;art_der_ermaessigung;website;strasse_und_hausnummer_des_angebots;plz_und_ort_des_angebots;gratis;kategorie;zielgruppen;freigabe;ansprechperson_anrede;ansprechperson_name;ansprechperson_email;einwilligung;empfaenger_recipient;empfaenger_subject;create_date;update_date
502;;nein;"Art-Café Aviator";"Art-Café Aviator im Dialog Haus Wedding ist seit vielen Jahren ein Veranstaltungsort und Treffpunkt für Menschen aller Nationen und Generationen aus Wedding und ganz Berlin. Hier treten sowohl berühmte als unbekannte Künstler auf, finden Konferenzen, Seminare und Tagungen statt. Es wird diskutiert, Theater gespielt, gekocht, getanzt, gebastelt und gefeiert.";"Zahlreiche Freizeit-Veranstaltungen:
- Themen-Abende
- Vorstellungen internationaler Künstler 
- Konzertreihe ""Ungezähmte Klassik"" 
- Kinderprogramm
- offenes Jugendcafé 
- Theatervorstellungen";"Eintritt auf Spenden-Basis für zahlreiche Veranstaltungen.
Ermäßigter Eintritt für Veranstaltungen mit festen Eintrittspreisen für Studenten, Rentner und Erwerbslose: ca. 30% vom Normalpreis.";http://aviator-berlin.de/;"Lindower Str. 18";"13347 Berlin";"[""Ja""]";Freizeit;"[""Kinder und Jugendliche"",""Erwachsene"",""Familien"",""SeniorInnen""]";ja;Frau;"Irina Kuzmin";aviator@club-dialog.de;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-02-14 16:21:13";"2025-02-27 16:58:18"
508;;nein;"HOLIDAY ON ICE Productions Germany GmbH";"HOLIDAY ON ICE, das sind über 80 Jahre fantastische Erfolge & Magie. Und 2024/25 geht es weiter – mit HORIZONS. Unter dem Motto „Feel the City Beat“ entführt HORIZONS das Publikum in eine urbane, magische Welt voller Energie & Faszination. Die Show kombiniert bewährte Spitzenleistungen im Eiskunstlauf mit atemberaubender Akrobatik, innovativer Technik & einer neuen, dynamischen Story, die den Puls der Stadt spürbar macht. Licht, Klang und Bewegung verschmelzen zu einem unvergesslichen Erlebnis.";"Fairgnügen Berlin-Special: Tickets für 18,25€ bei ausgewählten Shows von HOLIDAY ON ICE im Tempodrom Berlin";"https://bit.ly/hoiber25fair
Die verfügbaren Plätze sind bereits jetzt über den Buchungslink einsehbar.
Die Vorstellungen sind jeweils ab 7 Tage vorher buchbar (online, per Tel. 01805-4414 oder an der Tages/Abendkasse im Tempodrom ab 1 Stunde vor Showbeginn).
Die Zahlung erfolgt sofort bei Ticketkauf.
Die Karten werden generell an der Tages/Abendkasse des Tempodroms ab 1 Stunde vor der jeweiligen Show ausgegeben, dort muss ein Nachweis zur Berechtigung vorgezeigt werden.";https://bit.ly/hoiber25fair;"Möckernstraße 10";"10963 Berlin";;Kultur;"[""Kinder und Jugendliche"",""Erwachsene"",""Familien"",""SeniorInnen""]";ja;Frau;"Laura Givens";laura.givens@holidayonice.com;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-02-19 15:01:33";"2025-02-27 11:00:13"
517;;nein;"Eisstadion Neukölln";"Das Eisstadion Neukölln bietet allen Eisläuferinnen und Eisläufern auf der nicht überdachten Publikumsbahn viel Vergnügen. Es gibt vor Ort einen Schlittschuhverleih und einen Imbiss.";"Die genauen Öffnungszeiten jeder Eislauf-Saison entnehmen Sie bitte unserer Homepage.";"Ermäßigten Eintritt gibt es für Kinder, Schüler, Auszubildende, Studierende, Sozialhilfeempfänger, Erwerbslose, Wehrpflichtige und Zivildienstleistende. Kinder bis zur Vollendung des 4. Lebensjahres haben freien Eintritt.";https://www.berlin.de/ba-neukoelln/politik-und-verwaltung/aemter/schul-und-sportamt/sportamt/artikel.289179.php;"Oderstraße 182";"12051 Berlin";;Sport;"[""Kinder und Jugendliche"",""Erwachsene"",""Familien"",""SeniorInnen""]";ja;Keine;;;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-03-04 13:46:36";"2025-03-07 14:04:20"
526;;ja;"TIPI AM KANZLERAMT";"Das TIPI AM KANZLERAMT bietet rund ums Jahr Unterhaltung vom Allerfeinsten und präsentiert renommierte deutsche und internationale Künstler*innen. Ob Chansons, Cabaret, Varieté, Tanz, waghalsige Artistik, Berlin Musical, Comedy, Show, Entertainment oder Magie – hier werden Augen, Ohren und der Gaumen gleichermaßen verzaubert, denn für das leibliche Wohl sorgt die hauseigene, anspruchsvolle und frische Küche.";"Für Schüler*innen, Auszubildende, Studierende bis zum vollendeten 35. Lebensjahr, Teilnehmer*innen am Bundesfreiwilligendienst und Leistungsempfänger:innen mit Vorlage des entsprechenden Nachweises.";"ermäßigte Tickets nach Verfügbarkeit,bitte telefonisch erfragen unter 030-390 665 50.Die Preise variieren je nach Preisgruppe und Show, zwischen 12,50 Euro und 20 Euro.";www.tipi-am-kanzleramt.de;"Große Querallee";"10557 Berlin";;Kultur;"[""Kinder und Jugendliche"",""Erwachsene"",""Familien"",""SeniorInnen""]";ja;Frau;"Ylva Seemann";y.seemann@tipi-am-kanzleramt.de;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-03-05 16:39:17";"2025-03-06 17:03:07"
541;;ja;"BAR JEDER VERNUNFT";"Die BAR JEDER VERNUNFT ist ein Theater im Berliner Ortsteil Wilmersdorf, in dem allabendlich in einem historischen Spiegelzelt die Crème de la Crème der intelligenten Kleinkunst von Chanson, Cabaret, Show, Theater und Comedy präsentiert wird. Neben dem ausgezeichneten Showprogramm ist die BAR JEDER VERNUNFT auch für ihre schmackhafte Küche beliebt.";"Für Schüler*innen, Auszubildende, Studierende bis zum vollendeten 35. Lebensjahr, Teilnehmer*innen am Bundesfreiwilligendienst und Leistungsempfänger:innen mit Vorlage des entsprechenden Nachweises.";"Ermäßigte Tickets nach Verfügbarkeit, bitte telefonisch erfragen unter 030-883 15 82. Die ermäßigten Preise variieren zwischen 12,50 € und 18,50 €.";www.bar-jeder-vernunft.de;"Schaperstr. 24";"10719 Berlin";;Kultur;"[""Erwachsene"",""SeniorInnen""]";ja;Frau;"Annette Höpfner";a.hoepfner@bar-jeder-vernunft.de;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-03-05 16:50:10";"2025-03-06 15:02:06"
544;;nein;"Feuerwehrmuseum Berlin";"Im Feuerwehrmuseum Berlin können Errungenschaften der Berliner Feuerwehr aus den letzten 175 Jahren bestaunt werden.

Zu den Highlights des Feuerwehrmuseums gehören:
• Lebensgroße Darstellung bestimmter Zeitabschnitte
• Eine nachgebaute Trümmerlandschaft vermittelt einen Eindruck von der Kriegszeit.
• Die Nachstellung eines Verkehrsunfalls und eines Atemschutznotfalls
• Umfangreiche Modellsammlung
• Sinneskästen für Kinder zum Tasten, Riechen, Sehen und Hören
• Blaulichtfahrtsimulator";;"ermäßigter Eintritt, 2,50 Euro pro Leistungsberechtigten (statt 5 Euro)";https://www.feuerwehrmuseum-berlin.de/content/museum/eintrittspreise/;"Veitstr. 5";"16548 Berlin";;Kultur;"[""Kinder und Jugendliche"",""Erwachsene"",""Familien"",""SeniorInnen""]";ja;Herr;"Damian Czech";Museum@berliner-feuerwehr.de;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-03-06 09:07:48";"2025-03-06 17:09:27"
547;;nein;"Mitte Museum, Bezirksamt Mitte von Berlin";"Das Mitte Museum in Berlin ist das regionalgeschichtliche Museum des Berliner Bezirks Mitte von Berlin und widmet sich als kommunale Einrichtung der Geschichtsarbeit und Erinnerungskultur im Bezirk Mitte. Im Rathaus Tiergarten befindet sich die Dependance des Mitte Museums u. a. mit der Dauerausstellung ""Das Rathaus Tiergarten als Täter- und Erinnerungsort"". Die Dependance wird darüber hinaus regelmäßig für Veranstaltungen wie Lesungen und Filmvorführungen genutzt.";"Die Dependance des Mitte Museums 

Die externen Ausstellungsräume des Mitte Museums im Rathaus Tiergarten thematisieren die Zeit des Nationalsozialismus im Bezirk Mitte.";"Freier Eintritt zu Ausstellungen und Veranstaltungen
Mo-Fr von 10 bis 18 Uhr.

Rathaus Tiergarten, 2. Obergeschoss, Raum 234";https://www.mittemuseum.de/de/museum-im-rathaus-1;"Mathilde-Jacob-Platz 1";"10551 Berlin";"[""Ja""]";Kultur;"[""Kinder und Jugendliche"",""Erwachsene"",""SeniorInnen""]";ja;Herr;"Nathan Friedenberg";info@mittemuseum.de;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-03-06 10:00:47";"2025-03-06 17:20:23"
550;;ja;"Dokumentationszentrum NS-Zwangsarbeit";"Das Dokumentationszentrum NS-Zwangsarbeit befindet sich am historischen Ort eines ehemaligen Zwangsarbeitslagers im Berliner Ortsteil Niederschöneweide im Bezirk Treptow-Köpenick. Als Archiv-, Ausstellungs- und Lernort informiert das Dokumentationszentrum insbesondere über die Geschichte und Dimension der größten Gruppe der NS-Zwangsarbeit. Rund 8,4 Millionen Menschen wurden als „zivile“ Zwangsarbeiterinnen und Zwangsarbeiter aus den besetzten Gebieten Europas in das Deutsche Reich verschleppt.";"Ausstellungen, Führungen, Workshops, Bibliothek";"Alle Angebote sind kostenlos";https://www.ns-zwangsarbeit.de/;"Britzer Straße 5";Berlin;"[""Ja""]";Kultur;"[""Erwachsene"",""SeniorInnen""]";ja;Keine;;ns-zwangsarbeit@topographie.de;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-03-06 10:07:24";"2025-03-06 16:45:41"
553;;nein;Computerspielemuseum;"Das Computerspielemuseum wurde als weltweit erstes Museum für interaktive digitale Unterhaltungskultur 1997 in Berlin eröffnet.";"Ermäßigung 7 Euro statt 11 Euro für Erwachsene, Kinder bis 5 Jahre Eintritt frei
online buchbar";"Ermäßigung auf das Eintrittsticket";https://www.computerspielemuseum.de/;"Karl-Marx-Allee 93A";Berlin;;Kultur;"[""Kinder und Jugendliche"",""Erwachsene"",""Familien"",""SeniorInnen""]";ja;Frau;"Nicole Hanisch";nicole.hanisch@computerspielemuseum.de;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-03-06 12:57:08";"2025-03-06 16:36:33"
556;;ja;"Konzerthaus Berlin";"Das Konzerthaus ist wohl Berlins schönster Ort für ein klassisches Konzert. Genießen Sie ein unvergessliches Konzert in dem festlichen Haus am Gendarmenmarkt.";"""3 Euro Ticket"", an der Abendkasse, 1 Stunde vor Vorstellungsbeginn bei ausgewählten Vorstellungen. 
Infos dazu über die Ticket-Hotline Tel. 20309-2101 und unter konzerthaus.de";"Berechtigte Personen, die soziale oder kulturelle Vergünstigungen in Anspruch nehmen dürfen, zahlen an der Abendkasse nur 3 Euro statt dem regulären Kartenpreis.
Das Angebot gilt nur für eine Auswahl von Eigenveranstaltungen des Konzerthaus Berlin und wir als monatliche Übersicht auch auf unserer Webseite veröffentlicht.";konzerthaus.de;"Gendarmenmarkt 2";"10117 Berlin";;Kultur;"[""Kinder und Jugendliche"",""Erwachsene"",""Familien"",""SeniorInnen""]";ja;Frau;"Manuela Geulen";m.geulen@konzerthaus.de;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-03-06 17:27:19";"2025-03-06 17:36:04"
559;;ja;"Südbloc Boulderhalle";"Berlins sonnige Boulderhalle in Tempelhof, an der U6. Großer Aussenbereich, Trennung von Familienbereich und Erwachsenensektoren, Bistro, Bouldern auf 2500 Quadratmetern.";"ermäßigter Eintritt";"ermäßigter Eintritt für Nachweis-Inhaber*innen. 9 Euro (statt 12 Euro)";https://www.xn--sdbloc-3ya.de/bouldern-im-s%C3%BCdbloc/;"Großbeerenstr. 2-10, Haus 4 / Südbloc Boulderhalle";Berlin;;Sport;"[""Kinder und Jugendliche"",""Erwachsene"",""Familien"",""SeniorInnen""]";ja;Herr;"Mark Pätzold";info@suedbloc.de;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-03-06 17:30:34";"2025-03-06 17:41:37"
562;;ja;"Graphothek Berlin";"Kunstsammlung des Bezirks Reinickendorf zum Ausleihen. 
Hier können Sie originale Kunstwerke für Ihre Wohnung entleihen. Wählen können Sie aus einem Bestand von ungefähr 6000 Werken mit den Schwerpunkten der Klassischen Moderne und der zeitgenössischen Kunst. Alle Kunstwerke werden gerahmt und können direkt in passender Verpackung mitgenommen werden.";;"Erwerb einer ermäßigten Jahreskarte zum Ausleihen originaler Kunstwerke für Privaträume.";https://graphothek-berlin.de/;"Königshorster Str. 6 (im Fontane-Haus)";"13439 Berlin";;Kultur;"[""Erwachsene"",""Familien"",""SeniorInnen""]";ja;Keine;;graphothek@reinickendorf.berlin.de;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-03-06 17:40:31";"2025-03-07 09:37:54"
565;;ja;"FELD Theater für junges Publikum";"FELD ist ein Theater für junges Publikum und ihre erwachsenen Begleitpersonen in Berlin Schöneberg. Wir schaffen Begegnungen und regen zum künstlerischen Entdecken an. Der Schwerpunkt der Stücke, die wir zeigen, liegt auf Tanz, Musik und Performance. Wir laden Gäste ein und entwickeln selber neue Stücke: alleine, gemeinsam mit anderen Menschen und Gruppen oder mit unseren Besucher*innen. Ein Theater für alle – jede:r ist willkommen.";"Mit dem ""3-Euro-Ticket"" erhalten Berliner:innen, die Sozialleistungen empfangen ermäßigten Eintritt im FELD.
Es gibt auch kostenfreie Veranstaltungen im FELD. Schaut gerne auf die Website!";"Ermäßigung auf den Ticketpreis.
Gratis Veranstaltungen.";https://jungesfeld.de/;"Gleditschstr. 5";"10781 Berlin";;Kultur;"[""Kinder und Jugendliche"",""Erwachsene"",""Familien"",""SeniorInnen""]";ja;Frau;"Charlotte Bartesch";springins@jungesfeld.de;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-03-06 17:55:49";"2025-03-07 09:36:25"
568;;ja;"Wintergarten Varieté Berlin";"Dem Staunen gewidmet: Anspruchsvolle Varieté-Shows mit Akrobatik, Musik, Tanz und Live-Entertainment in einem einzigartigen Ambiente und mit stilvoller Gastronomie – das ist der Wintergarten Berlin.";Ermäßigung;"Vergünstigte Tickets für 34 € p.P. buchbar ab 30 Min. vor Showbeginn an der Abendkasse.
Gilt nicht für Sonderveranstaltungen.";www.wintergarten-berlin.de;"Potsdamer Str. 96";"10785 Berlin";;Kultur;"[""Kinder und Jugendliche"",""Erwachsene"",""Familien"",""SeniorInnen""]";ja;Herr;"Christoph Hein";c.hein@wintergarten-berlin.de;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-03-09 12:23:28";"2025-03-11 14:03:27"
574;;ja;"JugendFEIER Berlin - Humanistischer Verband Deutschlands | LV Berlin- Brandenburg KdöR";"Die humanistische JugendFEIER ist die nicht-religiöse Alternative zu den traditionellen Angeboten der Kirchen wie Konfirmation und Kommunion und wird seit langer Zeit von uns als Humanistischem Verband Deutschlands angeboten, der eine Körperschaft des öffentlichen Rechts und anerkannte Weltanschauungsgemeinschaft ist. Wir engagieren uns auf der Basis von Toleranz, Selbstbestimmung und Solidarität für eine menschlichere Gesellschaft.";"Die JugendFEIER bietet 13 bis 15-Jährigen eine spannende Vorbereitungszeit und eine würdigende Festveranstaltung im Friedrichstadt-Palast Berlin oder der Philharmonie sowie vielen Brandenburger Orten";"Sozialrabatt in Höhe der Anmeldegebühr.";https://berlin.jugendfeier.org/was-ist-jugendfeier;"Naugarder Str. 4";"10409 Berlin";;Kultur;"[""Kinder und Jugendliche"",""Familien""]";ja;Frau;"Anne-Kathrin Griese";a.griese@hvd-bb.de;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-03-10 10:44:27";"2025-03-11 13:19:18"
577;;ja;Friedrichstadt-Palast;"Willkommen in Berlins Nr. 1 für strahlendes Live-Entertainment. 
Die New York Times empfiehlt einen Showbesuch im Friedrichstadt-Palast als absolutes „Must-see in Berlin“. Seine Größendimensionen sind unerreicht. Auf der größten Theaterbühne der Welt spielen die weltweit größten Revueshows mit über 100 Künstlerinnen und Künstlern aus 28 Nationen. Hochmodern und unvergesslich.";"Ticket für 3 Euro nach Verfügbarkeit.";"Bei entsprechender Verfügbarkeit können ab 2 Wochen vor der Vorstellung Karten auch im Vorverkauf reserviert werden (Tel. 030-2326 2326). Ausgenommen sind Sonderveranstaltungen und Veranstaltungen zwischen dem 25.12. und 31.12.";www.PALAST.BERLIN;"Friedrichstraße 107";"10117 Berlin";;Kultur;"[""Erwachsene"",""Familien"",""SeniorInnen""]";ja;Frau;"Fiona Herrmann";f.herrmann@palast.berlin;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-03-10 15:28:18";"2025-03-11 13:44:18"
580;;nein;"Mitte Museum";"regionalgeschichtliches Museum für Mitte, Tiergarten, Wedding. Ausstellungen und Veranstaltungen";;"freier Eintritt für alle Besucher*innen";www.mittemuseum.de;"Pankstraße 47";"13357 Berlin";"[""Ja""]";Kultur;"[""Kinder und Jugendliche"",""Erwachsene"",""Familien"",""SeniorInnen""]";ja;Herr;"Jonas Hartmann";info@mittemuseum.de;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-03-11 14:20:19";"2025-03-11 14:21:43"
583;;ja;Wilhelm-Foerster-Sternwarte;"Erkunden Sie den Nachthimmel über Berlin vom Insulanerhügel auf der Wilhelm-Foerster-Sternwarte und erfahren Sie alles über die aktuell sichtbaren Himmelskörper. Das Planetarium am Insulaner ist derzeit für umfangreiche Sanierungs- und Modernisierungsarbeiten geschlossen und wird in den nächsten Jahren zu einem zukunftsweisenden Bildungszentrum umgebaut.";;"Berechtigt zum Erwerb eines ermäßigten Tickets | gilt nicht für Musik- und Highlight-Veranstaltungen";https://www.planetarium.berlin/#/;"Munsterdamm 90";"12169 Berlin";;"Bildung & Beratung";"[""Kinder und Jugendliche"",""Erwachsene"",""Familien"",""SeniorInnen""]";ja;Frau;"Jana Locher";jlocher@planetarium.berlin;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-03-11 16:36:32";"2025-03-13 09:52:33"
586;;ja;Zeiss-Großplanetarium;"Das Zeiss-Großplanetarium ist Europas modernstes Wissenschaftstheater. Erleben Sie faszinierende Streifzüge durch den Kosmos in 360°-Fulldome – von Astronomie und Wissenschaft bis hin zu Musik, Kunst und Kultur. Ein vielseitiges Programm für jedes Alter, jeden Geschmack und jeden Wissensstand sowie ein preisgekröntes Kino mit speziell kuratierten Filmen machen jeden Besuch unvergesslich!";"Das Zeiss-Großplanetarium ist Europas modernstes Wissenschaftstheater.";"Berechtigt zum Erwerb eines ermäßigten Tickets | gilt nicht für Musik- und Highlight-Veranstaltungen";https://www.planetarium.berlin/#/;"Prenzlauer Allee 80";"10405 Berlin";;"Bildung & Beratung";"[""Kinder und Jugendliche"",""Erwachsene"",""Familien"",""SeniorInnen""]";ja;Frau;"Jana Locher";jlocher@planetarium.berlin;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-03-11 16:48:10";"2025-03-12 13:46:58"
589;;ja;Archenhold-Sternwarte;"Die Archenhold-Sternwarte im Treptower Park ist Deutschlands größte und älteste Volkssternwarte Deutschlands. Bestaunen Sie das längste bewegliche Linsenfernrohr der Welt, berühren Sie Berlins größten Meteoriten, erleben Sie Veranstaltungen im historischen Einsteinsaal, reisen Sie durch den Kosmos im Zeiss-Kleinplanetarium und entdecken Sie die Astronomiegeschichte im kostenlosen Museum zur Himmelskunde.";"Die Archenhold-Sternwarte im Treptower Park ist Deutschlands größte und älteste Volkssternwarte Deutschlands.";"Berechtigt zum Erwerb eines ermäßigten Tickets | gilt nicht für Musik- und Highlight-Veranstaltungen";https://www.planetarium.berlin/#/;"Alt-Treptow 1";"12435 Berlin";;"Bildung & Beratung";"[""Kinder und Jugendliche"",""Erwachsene"",""Familien"",""SeniorInnen""]";ja;Frau;"Jana Locher";jlocher@planetarium.berlin;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-03-11 17:01:22";"2025-03-12 14:12:21"
592;;ja;"Schaubude Berlin";"In der Schaubude Berlin stehen Figuren und Objekte als Hauptdarsteller*innen auf der Bühne. In Gastspielen aus dem In- und Ausland, in Koproduktionen und Festivals zeigen wir die Welt aus Sicht der Dinge.
Mit unserem wöchentlich wechselnden Kinder- und Abendprogramm laden wir dazu ein, die Bandbreite des zeitgenössischen Figuren- und Objekttheaters zu entdecken. Neben Puppenspieler*innen betreten auch Künstler*innen aus den Bereichen Performance, Bildende Kunst, Tanz und Musik die Bühne.";"Klassische bis experimentelle Aufführungen für Erwachsene und Kinder im Puppen-, Objekt- und Figurentheater.";"Inhaber*innen des Berechtigungsnachweises (Leistungsnachweises) gewährt die Schaubude Berlin gegen Vorlage des entsprechenden Ausweises ab 24 Stunden vor Vorstellungsbeginn im Onlineshop sowie an der Abendkasse eine gesonderte Ermäßigung.
Ermäßigungen werden außerdem gewährt für Schüler*innen, Studierende, Auszubildende, Bundesfreiwilligendienstleistende, Rentner*innen, Menschen mit Schwerbehinderungen, Mitglieder professioneller Theater, außerdem Schulen, Kitas und andere Einrichtungen, die beim JugendKulturService angemeldet sind.";https://schaubude.berlin/de/;"Greifswalder Straße 81-84";"10405 Berlin";;Kultur;"[""Kinder und Jugendliche"",""Erwachsene"",""Familien"",""SeniorInnen""]";ja;Frau;"Réka Vitályos";sekretariat@schaubude.berlin;"[""Ja""]";fairgnuegen@jugendkulturservice.de;"Fairgnügen - Neuer Eintrag: Bitte freigeben";"2025-03-12 11:25:34";"2025-03-12 14:43:45"
